feature,importance
EXT_SOURCE_2,0.042321917
EXT_SOURCE_3,0.03264408
NAME_EDUCATION_TYPE_Higher education,0.025644233
NAME_EDUCATION_TYPE_Secondary / secondary special,0.018722288
EXT_SOURCE_1,0.01856255
NAME_INCOME_TYPE_Working,0.015274733
DAYS_EMPLOYED,0.014848399
CODE_GENDER_F,0.014604027
NAME_HOUSING_TYPE_House / apartment,0.0145887835
CODE_GENDER_M,0.013112147
NAME_CONTRACT_TYPE_Revolving loans,0.012213727
CREDIT_TERM,0.011793494
FLAG_DOCUMENT_3,0.010945264
DAYS_BIRTH,0.010813114
DAYS_LAST_PHONE_CHANGE,0.010451154
REG_CITY_NOT_WORK_CITY,0.010183097
AMT_GOODS_PRICE,0.009941165
EMPLOYMENT_AGE_RATIO,0.009875923
FLAG_OWN_CAR_Y,0.009843246
NONLIVINGAREA_MEDI,0.009487567
AMT_ANNUITY,0.009426008
FLAG_OWN_REALTY_Y,0.009183493
NONLIVINGAREA_MODE,0.008571138
DAYS_ID_PUBLISH,0.008492793
FLAG_PHONE,0.008475528
NAME_TYPE_SUITE_Family,0.008412933
OCCUPATION_TYPE_Cleaning staff,0.008182199
NAME_FAMILY_STATUS_Married,0.007921498
AMT_CREDIT,0.007882963
OCCUPATION_TYPE_Core staff,0.007764087
